smiles zinc_id ortholog_name gene_name affinity chembldocid title reference.pubmed_id reference.doi reference.chembl_id
CC(=O)N(C(C)=O)c1nc(-c2nnc(S)n2-c2ccc(Cl)cc2)cs1 ZINC000096282322 DYR_BOVIN DHFR 5 74487 None 23792351 None CHEMBL2413018
COc1ccc(-n2c(S)nnc2-c2csc(N(C(C)=O)C(C)=O)n2)c(OC)c1 ZINC000096282323 DYR_BOVIN DHFR 5.1 74487 None 23792351 None CHEMBL2413018
COc1ccc(-n2c(S)nnc2-c2csc(N(C(C)=O)C(C)=O)n2)cc1 ZINC000096282324 DYR_BOVIN DHFR 5.3 74487 None 23792351 None CHEMBL2413018
COc1ccc(-n2c(S)nnc2-c2csc(NC(=S)Nc3ccccc3)n2)c(OC)c1 ZINC000096282325 DYR_BOVIN DHFR 7.52 74487 None 23792351 None CHEMBL2413018
COc1ccc(/C=C2\CCCc3c2nc(C)nc3-c2ccc(OC)c(OC)c2)cc1OC ZINC000103270101 DYR_BOVIN DHFR 7 76931 None 24469112 None CHEMBL3112482
COc1cc(/C=C2\CCCc3c2nc(C)nc3-c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC ZINC000103270103 DYR_BOVIN DHFR 6.3 76931 None 24469112 None CHEMBL3112482
Clc1ccc(/C=C2\CCCC3=C(c4ccc(Cl)cc4)Nc4ccccc4N=C32)cc1 ZINC000103270109 DYR_BOVIN DHFR 6.52 76931 None 24469112 None CHEMBL3112482
COc1ccc(/C=C2\CCCC3=C(c4ccc(OC)cc4)Nc4ccccc4N=C32)cc1 ZINC000103270111 DYR_BOVIN DHFR 6.22 76931 None 24469112 None CHEMBL3112482
COc1ccc(/C=C2\CCCC3=C(c4ccc(OC)c(OC)c4)Nc4ccccc4N=C32)cc1OC ZINC000103270115 DYR_BOVIN DHFR 7.22 76931 None 24469112 None CHEMBL3112482
COc1cc(/C=C2\CCCC3=C(c4cc(OC)c(OC)c(OC)c4)Nc4ccccc4N=C32)cc(OC)c1OC ZINC000103270118 DYR_BOVIN DHFR 7.05 76931 None 24469112 None CHEMBL3112482
COc1ccc(/C=C2\CCCC3=C(c4ccc(OC)cc4)Nc4cc(C)c(C)cc4N=C32)cc1 ZINC000103270125 DYR_BOVIN DHFR 7 76931 None 24469112 None CHEMBL3112482
COc1ccc(/C=C2\CCCC3=C(c4ccc(OC)c(OC)c4)Nc4cc(C)c(C)cc4N=C32)cc1OC ZINC000103270127 DYR_BOVIN DHFR 8.4 76931 None 24469112 None CHEMBL3112482
COc1cc(/C=C2\CCCC3=C(c4cc(OC)c(OC)c(OC)c4)Nc4cc(C)c(C)cc4N=C32)cc(OC)c1OC ZINC000103270129 DYR_BOVIN DHFR 6 76931 None 24469112 None CHEMBL3112482
Clc1cc2c(cc1Cl)NC(c1ccc(Br)cc1)=C1CCC/C(=C\c3ccc(Br)cc3)C1=N2 ZINC000103270131 DYR_BOVIN DHFR 7 76931 None 24469112 None CHEMBL3112482
Cc1ccc2nc(Sc3nnc(N)s3)n(-c3ccc(Oc4ccccc4)cc3)c(=O)c2c1 ZINC000230473765 DYR_BOVIN DHFR 7 90791 None 25139568 None CHEMBL3352542
COc1cc2nc(Sc3sc(N)nc3C)n(-c3ccc(Cl)cc3)c(=O)c2cc1OC ZINC000299824346 DYR_BOVIN DHFR 5.7 90791 None 25139568 None CHEMBL3352542
Nc1nnc(Sc2nc3ccc(Cl)cc3c(=O)n2-c2ccc(Oc3ccccc3)cc2)s1 ZINC000299825322 DYR_BOVIN DHFR 6.4 90791 None 25139568 None CHEMBL3352542
