molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_first_value,pKi_last_value,target_organism
CHEMBL159052,NC1=NC(c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1,8.51427857351842,8.397940008672037,8.585026652029182,Plasmodium falciparum K1
CHEMBL444605,CC(=O)OCCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.005462895701502,8.508638306165727,7.503070351926786,Plasmodium falciparum K1
CHEMBL354011,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.397940008672037,8.638272163982407,8.494850021680094,Plasmodium falciparum K1
CHEMBL161009,CCCCCCC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.562566556202029,8.619788758288394,6.995678626217357,Plasmodium falciparum K1
CHEMBL347190,CC(=O)OCCCc1nc(N)nc(N)c1-c1ccccc1,7.169732199066358,7.97469413473523,6.625251653989896,Plasmodium falciparum K1
CHEMBL158054,CCCC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.4466389255053125,8.455931955649724,5.034845354013075,Plasmodium falciparum K1
CHEMBL159032,NC1=NC(c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,7.099305225547602,9.30102999566398,8.568636235841012,Plasmodium falciparum K1
CHEMBL158691,CC(C)C1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,6.209926051573696,7.5934598195660445,5.662141570958905,Plasmodium falciparum K1
CHEMBL345146,CC(C)C1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,4.896055241731906,7.437707135543525,4.348809241425956,Plasmodium falciparum K1
CHEMBL161451,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,8.928117992693874,9.154901959985745,8.568636235841012,Plasmodium falciparum K1
CHEMBL351099,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,6.485213251929535,9.154901959985745,8.207608310501746,Plasmodium falciparum K1
CHEMBL159040,Nc1nc(N)c(-c2ccccc2)c(CCCO)n1,6.691702434055085,7.070581074285707,6.260427655549908,Plasmodium falciparum K1
CHEMBL422005,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCO)n1,7.6130553756294255,8.036212172654444,7.244125144327507,Plasmodium falciparum K1
CHEMBL352441,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1,8.775985188627136,8.920818753952375,8.443697499232712,Plasmodium falciparum K1
CHEMBL158570,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.402304814074487,8.886056647693163,8.455931955649724,Plasmodium falciparum K1
CHEMBL346963,CCCCCCCC1N=C(N)N=C(N)N1c1cccc(Cl)c1,8.76447155309245,8.568636235841012,8.42021640338319,Plasmodium falciparum K1
CHEMBL348151,NC1=NC(c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.478861916295964,8.568636235841012,8.187086643357144,Plasmodium falciparum K1
CHEMBL162126,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1,8.2839966563652,8.468521082957745,7.853871964321762,Plasmodium falciparum K1
CHEMBL161673,CCCCCCC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.666391532411707,9.221848749616356,6.019996628416253,Plasmodium falciparum K1
CHEMBL161034,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,7.096367483915762,9.397940008672036,8.42021640338319,Plasmodium falciparum K1
CHEMBL129788,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,8.958607314841775,8.958607314841775,8.958607314841775,Plasmodium falciparum K1
CHEMBL185800,Cc1cc2nc3n(c2cc1C)C(C)(C)NC(N)=N3,6.7447274948966935,6.7447274948966935,6.7447274948966935,Plasmodium falciparum K1
CHEMBL365481,Cc1[nH]c(N)cc2nc3ccccc3c1-2,5.638272163982407,5.638272163982407,5.638272163982407,Plasmodium falciparum K1
