molecule_chembl_id,molecule_zinc_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
CHEMBL17662,ZINC000013559296,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)c2ccccc2)n1,6.94,5.12,9.1,PFLAK
CHEMBL17662,ZINC000013559297,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1,7.394285714285714,5.23,9.1,PFLAK
CHEMBL17662,ZINC000013559298,CCC[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.106,5.03,8.46,PFLAK
CHEMBL17662,ZINC000013559299,CCC[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.106,5.03,8.46,PFLAK
CHEMBL17662,ZINC000013559300,CC(C)[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,6.5920000000000005,6.33,6.71,PFLAK
CHEMBL17662,ZINC000013559301,CC(C)[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,6.5920000000000005,6.33,6.71,PFLAK
CHEMBL17662,ZINC000013559302,CC(C)[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.213333333333334,5.34,5.86,PFLAK
CHEMBL17662,ZINC000013559303,CC(C)[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.213333333333334,5.34,5.86,PFLAK
CHEMBL17662,ZINC000013559304,CCC[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.038888888888889,8.01,5.96,PFLAK
CHEMBL17662,ZINC000013559305,CCC[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.038888888888889,8.01,5.96,PFLAK
CHEMBL17662,ZINC000013559306,CCCCCC[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.123,7.22,7.0,PFLAK
CHEMBL17662,ZINC000013559307,CCCCCC[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.123,7.22,7.0,PFLAK
CHEMBL17662,ZINC000013559308,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,6.785454545454545,5.16,9.4,PFLAK
CHEMBL17662,ZINC000013559309,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,6.785454545454545,5.16,9.4,PFLAK
CHEMBL17662,ZINC000013559310,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,7.689,6.13,9.52,PFLAK
CHEMBL17662,ZINC000013559311,NC1=N[C@H](c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,7.689,6.13,9.52,PFLAK
CHEMBL17662,ZINC000013559312,NC1=N[C@@H](c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,7.8,6.62,9.3,PFLAK
CHEMBL17662,ZINC000013559313,NC1=N[C@H](c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,7.8,6.62,9.3,PFLAK
CHEMBL17662,ZINC000013559314,NC1=N[C@@H](c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,6.914,7.22,8.96,PFLAK
CHEMBL17662,ZINC000013559315,NC1=N[C@H](c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,6.914,7.22,8.96,PFLAK
CHEMBL17662,ZINC000013559316,NC1=N[C@@H](c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,7.266,6.11,9.15,PFLAK
