zinc_id,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year
ZINC000003157274,DRTS_PLAFK,DRTS_PLAFK,7.82,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000003157274,DRTS_PLAFK,DRTS_PLAFK,5.82,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000003157274,DRTS_PLAFK,DRTS_PLAFK,6.67,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000003581056,DRTS_PLAFK,DRTS_PLAFK,8.96,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000004322438,DRTS_PLAFK,DRTS_PLAFK,5.82,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000004394094,DRTS_PLAFK,DRTS_PLAFK,5.77,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000004394094,DRTS_PLAFK,DRTS_PLAFK,5.62,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000004394094,DRTS_PLAFK,DRTS_PLAFK,5.38,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000004394094,DRTS_PLAFK,DRTS_PLAFK,5.01,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000004394823,DRTS_PLAFK,DRTS_PLAFK,5.21,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000004394823,DRTS_PLAFK,DRTS_PLAFK,6.03,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000004821963,DRTS_PLAFK,DRTS_PLAFK,8.85,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000004821963,DRTS_PLAFK,DRTS_PLAFK,7.75,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000004983774,DRTS_PLAFK,DRTS_PLAFK,6.72,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000004983774,DRTS_PLAFK,DRTS_PLAFK,8.44,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000005372203,DRTS_PLAFK,DRTS_PLAFK,6.74,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000005765026,DRTS_PLAFK,DRTS_PLAFK,5.64,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000005884512,DRTS_PLAFK,DRTS_PLAFK,7.81,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005884512,DRTS_PLAFK,DRTS_PLAFK,6.73,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005884512,DRTS_PLAFK,DRTS_PLAFK,5.45,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005888905,DRTS_PLAFK,DRTS_PLAFK,8.74,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
