,zinc_id,smiles,first_affinity,last_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id
365,ZINC000026269355,C[C@@H](Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)nc(N)c2n1,7.4,7.4,7.4,10270,2296020,CHEMBL1124936
366,ZINC000026269362,C[C@H](Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)nc(N)c2n1,7.4,7.4,7.4,10270,2296020,CHEMBL1124936
367,ZINC000026269919,Nc1nc(N)c2cc(N(C=O)Cc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,8.24,8.24,8.24,9629,3339615,CHEMBL1124218
368,ZINC000026269925,Nc1nc(N)c2cc(N(C=O)Cc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,8.24,8.24,8.24,9629,3339615,CHEMBL1124218
369,ZINC000026282126,Nc1nc(N)c2nc(CNc3c(Cl)cc(C(=O)N[C@@H](CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3Cl)cnc2n1,7.99,7.99,7.99,12397,8035423,CHEMBL1127804
370,ZINC000026282132,Nc1nc(N)c2nc(CNc3c(Cl)cc(C(=O)N[C@H](CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3Cl)cnc2n1,7.99,7.99,7.99,12397,8035423,CHEMBL1127804
371,ZINC000026386729,CN(Cc1cnc2ncnc(N)c2n1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,5.22,5.22,5.22,10744,1992122,CHEMBL1125867
372,ZINC000026393455,CN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)[nH]c(=O)c2c1,6.52,6.52,6.52,9629,3339615,CHEMBL1124218
373,ZINC000026393458,CN(Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)[nH]c(=O)c2c1,6.52,6.52,6.52,9629,3339615,CHEMBL1124218
374,ZINC000026403260,Nc1nc2ccc(N(C=O)Cc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.55,6.55,6.55,9629,3339615,CHEMBL1124218
