,zinc_id,smiles,first_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id,reference.year
112,ZINC000013559293,CC(=O)OCCCc1nc(N)nc(N)c1-c1ccccc1,7.97,7.66,17662,14736247,CHEMBL1138835,2004
113,ZINC000013559294,CC(=O)OCCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.74,6.9675,17662,14736247,CHEMBL1138835,2004
114,ZINC000013559295,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1,9.15,8.51,17662,14736247,CHEMBL1138835,2004
115,ZINC000013559296,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)c2ccccc2)n1,9.1,6.9399999999999995,17662,14736247,CHEMBL1138835,2004
116,ZINC000013559297,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1,9.1,7.394285714285714,17662,14736247,CHEMBL1138835,2004
117,ZINC000013559298,CCC[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.46,6.106,17662,14736247,CHEMBL1138835,2004
118,ZINC000013559299,CCC[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.46,6.106,17662,14736247,CHEMBL1138835,2004
119,ZINC000013559300,CC(C)[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,6.71,6.5920000000000005,17662,14736247,CHEMBL1138835,2004
120,ZINC000013559301,CC(C)[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,6.71,6.5920000000000005,17662,14736247,CHEMBL1138835,2004
121,ZINC000013559302,CC(C)[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.86,6.213333333333334,17662,14736247,CHEMBL1138835,2004
122,ZINC000013559303,CC(C)[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.86,6.213333333333334,17662,14736247,CHEMBL1138835,2004
123,ZINC000013559304,CCC[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,5.96,7.038888888888889,17662,14736247,CHEMBL1138835,2004
124,ZINC000013559305,CCC[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,5.96,7.038888888888889,17662,14736247,CHEMBL1138835,2004
125,ZINC000013559306,CCCCCC[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.0,7.123,17662,14736247,CHEMBL1138835,2004
126,ZINC000013559307,CCCCCC[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.0,7.123,17662,14736247,CHEMBL1138835,2004
127,ZINC000013559308,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,9.4,6.785454545454545,17662,14736247,CHEMBL1138835,2004
128,ZINC000013559309,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,9.4,6.785454545454545,17662,14736247,CHEMBL1138835,2004
129,ZINC000013559310,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,9.52,7.689,17662,14736247,CHEMBL1138835,2004
130,ZINC000013559311,NC1=N[C@H](c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,9.52,7.689,17662,14736247,CHEMBL1138835,2004
131,ZINC000013559312,NC1=N[C@@H](c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,9.3,7.8,17662,14736247,CHEMBL1138835,2004
132,ZINC000013559313,NC1=N[C@H](c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,9.3,7.8,17662,14736247,CHEMBL1138835,2004
133,ZINC000013559314,NC1=N[C@@H](c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.96,6.914,17662,14736247,CHEMBL1138835,2004
134,ZINC000013559315,NC1=N[C@H](c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.96,6.914,17662,14736247,CHEMBL1138835,2004
