molecule_chembl_id,smiles,pKi_mean_value,mean_Ki_value,target_organism
CHEMBL424170,CCC(C)(C)n1c(C)cc2c3c(N)nc(N)nc3ccc21,9.397940008672037,0.4,Homo sapiens
CHEMBL353763,CCCc1cc2c3c(N)nc(N)nc3ccc2n1CC,7.619788758288394,24.0,Homo sapiens
CHEMBL170758,CCC(CC)n1c(C)cc2c3c(N)nc(N)nc3ccc21,9.522878745280337,0.3,Homo sapiens
CHEMBL353929,Cc1cc2c3c(N)nc(N)nc3ccc2n1C,7.060480747381382,87.0,Homo sapiens
CHEMBL170144,CCc1cc2c3c(N)nc(N)nc3ccc2n1CC,8.0,10.0,Homo sapiens
CHEMBL171765,CCC(CC)n1c(C(C)C)cc2c3c(N)nc(N)nc3ccc21,10.0,0.1,Homo sapiens
CHEMBL173617,Cc1cc2c3c(N)nc(N)nc3ccc2n1C(C)C,8.193820026016112,6.4,Homo sapiens
CHEMBL170900,CCc1cc2c3c(N)nc(N)nc3ccc2n1C,7.537602002101044,29.0,Homo sapiens
CHEMBL171494,CCCc1cc2c3c(N)nc(N)nc3ccc2n1C(CC)CC,9.397940008672037,0.4,Homo sapiens
CHEMBL171629,CCCCc1cc2c3c(N)nc(N)nc3ccc2n1C(C)(C)C,7.522878745280337,30.0,Homo sapiens
CHEMBL353161,CC(C)c1cc2c(ccc3nc(N)nc(N)c32)[nH]1,8.0,10.0,Homo sapiens
CHEMBL352960,CCc1cc2c3c(N)nc(N)nc3ccc2n1C(CC)CC,9.698970004336019,0.2,Homo sapiens
CHEMBL174414,Cn1ccc2c3c(N)nc(N)nc3ccc21,6.638272163982407,230.0,Homo sapiens
CHEMBL170760,CCc1cc2c3c(N)nc(N)nc3ccc2n1C(C)CC,10.0,0.1,Homo sapiens
CHEMBL353621,COc1cc(Cn2ccc3c4c(N)nc(N)nc4ccc32)cc(OC)c1OC,8.221848749616356,6.0,Homo sapiens
CHEMBL145947,Nc1ncc(CCCCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(N)n1,11.301029995663981,0.005,Homo sapiens
CHEMBL443763,Nc1ncc(CCCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(N)n1,9.920818753952375,0.12,Homo sapiens
CHEMBL284943,Nc1nc(N)c2nc(CN(CCCCC(=O)O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,9.882728704344236,0.131,Homo sapiens
CHEMBL265757,CCOC(=O)CCCCCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)OCC)C(=O)OCC)cc1,7.2541448048262716,55.7,Homo sapiens
CHEMBL35364,Nc1nc(N)c2nc(CN(CCCC(=O)O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,9.97061622231479,0.107,Homo sapiens
CHEMBL285474,CCOC(=O)CCCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)OCC)C(=O)OCC)cc1,7.85078088734462,14.1,Homo sapiens
CHEMBL35427,Nc1nc(N)c2nc(CN(CCCCCC(=O)O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,9.73754891026957,0.183,Homo sapiens
CHEMBL35552,CCOC(=O)CCCCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)OCC)C(=O)OCC)cc1,7.335358024443875,46.2,Homo sapiens
CHEMBL416552,CCCCCCc1nc(N)nc(N)c1-c1ccccc1,4.823908740944319,15000.0,Homo sapiens
CHEMBL1679,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,5.625251653989896,2370.0,Homo sapiens
CHEMBL225072,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,8.154901959985743,7.0,Homo sapiens
CHEMBL386685,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c1ccc1ccccc21,3.9586073148417746,110000.0,Homo sapiens
CHEMBL217227,O=C1OC(c2ccc(O)c(F)c2)(c2ccc(O)c(F)c2)c2ccc(Cl)c3cccc1c23,4.920818753952375,12000.0,Homo sapiens
CHEMBL303171,O=C1OC(c2ccc(O)c(F)c2)(c2ccc(O)c(F)c2)c2cccc3cccc1c23,4.376750709602099,42000.0,Homo sapiens
